"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"TRN1 32xlarge","trn1.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","8x 100 Gigabit","$21.5000 hourly","$13.2289 hourly","$2.6528 hourly","unavailable","unavailable"
"P3 High Performance GPU 16xlarge","p3.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","$24.4800 hourly","$16.7080 hourly","$2.7968 hourly","$27.4240 hourly","$19.6520 hourly"
"TRN1N 32xlarge","trn1n.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","16x 100 Gigabit","$24.7800 hourly","$15.2471 hourly","$3.3714 hourly","unavailable","unavailable"
"X2IEDN 32xlarge","x2iedn.32xlarge","4096.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$26.6760 hourly","$16.4137 hourly","$3.5132 hourly","$32.5640 hourly","$22.3017 hourly"
"X2IEDN Metal","x2iedn.metal","4096.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$26.6760 hourly","$16.4137 hourly","$2.7428 hourly","$32.5640 hourly","$22.3017 hourly"
"X1E 32xlarge","x1e.32xlarge","3904.0 GiB","128 vCPUs","3840 GB                 (2 * 1920 GB SSD)","25 Gigabit","$26.6880 hourly","$16.4460 hourly","$4.0236 hourly","$32.5760 hourly","$22.3340 hourly"
"U-3TB1 56xlarge","u-3tb1.56xlarge","3072.0 GiB","224 vCPUs","EBS only","50 Gigabit","$27.3000 hourly","$16.8235 hourly","unavailable","$37.6040 hourly","$27.1275 hourly"
"P4D Highest Performance GPU 24xlarge","p4d.24xlarge","1152.0 GiB","96 vCPUs","8000 GB                 (8 * 1000 GB NVMe SSD)","4x 100 Gigabit","$32.7726 hourly","$20.1755 hourly","$3.2971 hourly","unavailable","unavailable"
"U-6TB1 56xlarge","u-6tb1.56xlarge","6144.0 GiB","224 vCPUs","EBS only","100 Gigabit","$46.4039 hourly","$28.5962 hourly","unavailable","$56.7079 hourly","$38.9002 hourly"
"U-6TB1 112xlarge","u-6tb1.112xlarge","6144.0 GiB","448 vCPUs","EBS only","100 Gigabit","$54.6000 hourly","$33.6470 hourly","unavailable","$75.2080 hourly","$54.2550 hourly"
"U-12TB1 112xlarge","u-12tb1.112xlarge","12288.0 GiB","448 vCPUs","EBS only","100 Gigabit","$109.2000 hourly","$67.3054 hourly","unavailable","$129.8080 hourly","$87.9134 hourly"
"T1 Micro","t1.micro","0.613 GiB","1 vCPUs","EBS only","Very Low","unavailable","unavailable","unavailable","unavailable","unavailable"
"M1 General Purpose Small","m1.small","1.7 GiB","1 vCPUs","160 GB                 HDD","Low","unavailable","unavailable","unavailable","unavailable","unavailable"
"M3 General Purpose Medium","m3.medium","3.75 GiB","1 vCPUs","4 GB                 SSD","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"M1 General Purpose Medium","m1.medium","3.75 GiB","1 vCPUs","410 GB                 HDD","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"C3 High-CPU Large","c3.large","3.75 GiB","2 vCPUs","32 GB                 (2 * 16 GB SSD)","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"C1 High-CPU Medium","c1.medium","1.7 GiB","2 vCPUs","350 GB                 HDD","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"M3 General Purpose Large","m3.large","7.5 GiB","2 vCPUs","32 GB                 SSD","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"M1 General Purpose Large","m1.large","7.5 GiB","2 vCPUs","840 GB                 (2 * 420 GB HDD)","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7IZ Large","r7iz.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C3 High-CPU Extra Large","c3.xlarge","7.5 GiB","4 vCPUs","80 GB                 (2 * 40 GB SSD)","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"M2 High Memory Extra Large","m2.xlarge","17.1 GiB","2 vCPUs","420 GB                 HDD","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"M3 General Purpose Extra Large","m3.xlarge","15.0 GiB","4 vCPUs","80 GB                 (2 * 40 GB SSD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"M1 General Purpose Extra Large","m1.xlarge","15.0 GiB","4 vCPUs","1680 GB                 (4 * 420 GB HDD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7IZ Extra Large","r7iz.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C3 High-CPU Double Extra Large","c3.2xlarge","15.0 GiB","8 vCPUs","160 GB                 (2 * 80 GB SSD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G Extra Large","g5g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M2 High Memory Double Extra Large","m2.2xlarge","34.2 GiB","4 vCPUs","850 GB                 HDD","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"C1 High-CPU Extra Large","c1.xlarge","7.0 GiB","8 vCPUs","1680 GB                 (4 * 420 GB HDD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN Extra Large","d3en.xlarge","16.0 GiB","4 vCPUs","27960 GB                 (2 * 13980 GB NVMe HDD)","Up to 25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M3 General Purpose Double Extra Large","m3.2xlarge","30.0 GiB","8 vCPUs","160 GB                 (2 * 80 GB SSD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G Double Extra Large","g5g.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G2 Double Extra Large","g2.2xlarge","15.0 GiB","8 vCPUs","60 GB                 SSD","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"VT1 3xlarge","vt1.3xlarge","24.0 GiB","12 vCPUs","EBS only","3.12 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7IZ Double Extra Large","r7iz.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G Quadruple Extra Large","g5g.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","16 vCPUs","320 GB                 (2 * 160 GB SSD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"M2 High Memory Quadruple Extra Large","m2.4xlarge","68.4 GiB","8 vCPUs","1680 GB                 (2 * 840 GB HDD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN Double Extra Large","d3en.2xlarge","32.0 GiB","8 vCPUs","55920 GB                 (4 * 13980 GB NVMe HDD)","Up to 25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"VT1 6xlarge","vt1.6xlarge","48.0 GiB","24 vCPUs","EBS only","6.25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G Eight Extra Large","g5g.8xlarge","64.0 GiB","32 vCPUs","EBS only","12 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7IZ Quadruple Extra Large","r7iz.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"F1 Double Extra Large","f1.2xlarge","122.0 GiB","8 vCPUs","470 GB                 NVMe SSD","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Double Extra Large","x2iezn.2xlarge","256.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","32 vCPUs","640 GB                 (2 * 320 GB SSD)","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"HPC7G Eight Extra Large","hpc7g.8xlarge","128.0 GiB","32 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"HPC7G 16xlarge","hpc7g.16xlarge","128.0 GiB","64 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"HPC7G Quadruple Extra Large","hpc7g.4xlarge","128.0 GiB","16 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN Quadruple Extra Large","d3en.4xlarge","64.0 GiB","16 vCPUs","111840 GB                 (8 * 13980 GB NVMe HDD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G2 Eight Extra Large","g2.8xlarge","60.0 GiB","32 vCPUs","240 GB                 (2 * 120 GB SSD)","High","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G Metal","g5g.metal","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G 16xlarge","g5g.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7IZ Eight Extra Large","r7iz.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN 6xlarge","d3en.6xlarge","96.0 GiB","24 vCPUs","167760 GB                 (12 * 13980 GB NVMe HDD)","40 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"F1 Quadruple Extra Large","f1.4xlarge","244.0 GiB","16 vCPUs","940 GB                 NVMe SSD","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Quadruple Extra Large","x2iezn.4xlarge","512.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"High Memory Cluster Eight Extra Large","cr1.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN Eight Extra Large","d3en.8xlarge","128.0 GiB","32 vCPUs","223680 GB                 (16 * 13980 GB NVMe HDD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7IZ 12xlarge","r7iz.12xlarge","384.0 GiB","48 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN 6xlarge","x2iezn.6xlarge","768.0 GiB","24 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"VT1 24xlarge","vt1.24xlarge","192.0 GiB","96 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7IZ 16xlarge","r7iz.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7IZ Metal-16xl","r7iz.metal-16xl","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN 12xlarge","d3en.12xlarge","192.0 GiB","48 vCPUs","335520 GB                 (24 * 13980 GB NVMe HDD)","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Eight Extra Large","x2iezn.8xlarge","1024.0 GiB","32 vCPUs","EBS only","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN 12xlarge","x2iezn.12xlarge","1536.0 GiB","48 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Metal","x2iezn.metal","1536.0 GiB","48 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7IZ Metal-32xl","r7iz.metal-32xl","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7IZ 32xlarge","r7iz.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"DL1 24xlarge","dl1.24xlarge","768.0 GiB","96 vCPUs","4000 GB                 (4 * 1000 GB NVMe SSD)","4x 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"F1 16xlarge","f1.16xlarge","976.0 GiB","64 vCPUs","3760 GB                 (4 * 940 GB NVMe SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P3DN 24xlarge","p3dn.24xlarge","768.0 GiB","96 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P4DE 24xlarge","p4de.24xlarge","1152.0 GiB","96 vCPUs","8000 GB                 (8 * 1000 GB NVMe SSD)","400 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-9TB1 112xlarge","u-9tb1.112xlarge","9216.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-18TB1 112xlarge","u-18tb1.112xlarge","18432.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-24TB1 112xlarge","u-24tb1.112xlarge","24576.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-12TB1 Metal","u-12tb1.metal","12288.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-18TB1 Metal","u-18tb1.metal","18432.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-6TB1 Metal","u-6tb1.metal","6144.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-24TB1 Metal","u-24tb1.metal","24576.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-9TB1 Metal","u-9tb1.metal","9216.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"High Storage Eight Extra Large","hs1.8xlarge","117.0 GiB","16 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"Cluster Compute Eight Extra Large","cc2.8xlarge","60.5 GiB","32 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC2 Metal","mac2.metal","16.0 GiB","12 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC2-M2 Metal","mac2-m2.metal","24.0 GiB","12 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"I2 Large","i2.large","15.0 GiB","2 vCPUs","EBS only","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC1 Metal","mac1.metal","32.0 GiB","12 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
